design_name,design_sku,variant_name,variant_sku,description
Umber and Silver Grasscloth,ET122,Umber and Silver Grasscloth,ET122,This grasscloth features stratigically woven natural fibers atop a silver ground creating an interesting graphic effect.
Umber and Gold Grasscloth,ET123,Umber and Gold Grasscloth,ET123,This grasscloth features stratigically woven natural fibers atop a gold ground creating an interesting graphic effect.
Smoky Metallic Grasscloth,ET124,Smoky Metallic Grasscloth,ET124,Beautiful natural fibers are enhanced with touches of gold and silver in this elevated grasscloth wallcovering.
Camel and Silver Grasscloth,ET125,Camel and Silver Grasscloth,ET125,Camel colored natural fibers are loosely woven together allowing the silver ground to shine through.
Camel and Gold Grasscloth,ET126,Camel and Gold Grasscloth,ET126,Camel colored natural fibers are loosely woven together allowing the gold ground to shine through.
Ash and Silver Grasscloth,ET127,Ash and Silver Grasscloth,ET127,Ash colored natural fibers are loosely woven together allowing the silver ground to shine through.
Mocha Grasscloth,ET128,Mocha Grasscloth,ET128,This handmade grasscloth features a balanced weave in colors that range from rich mocha to golden brown.
Cacao and Gold Grasscloth,ET129,Cacao and Gold Grasscloth,ET129,Beautiful natural fibers are loosely woven together allowing the gold ground to shine through.
Oat and Gold Grasscloth,ET130,Oat and Gold Grasscloth,ET130,"This handmade grasscloth features woven, oat colored fibers atop a shimmering gold ground."
Mocha and Gold Grasscloth,ET131,Mocha and Gold Grasscloth,ET131,This handmade grasscloth features an open weave structure allowing the golden ground to shine through.
Taupe and Silver Grasscloth,ET132,Taupe and Silver Grasscloth,ET132,This handmade grasscloth features an open weave structure allowing the silver ground to shine through.
Ivory Grasscloth,ET133,Ivory Grasscloth,ET133,This tightly woven grasscloth features subtle texture in a versatile ivory hue.
Crisscross Grasscloth,ET134,Crisscross Grasscloth,ET134,Cotton fibers are woven together in a wicker like structure for this simple and versatile natural wallcovering.
Gauze Woven Grasscloth,ET135,Gauze Woven Grasscloth,ET135,Cotton fibers are gauze woven in this simple and versatile natural wallcovering.
Rustic Cream Grasscloth,ET136,Rustic Cream Grasscloth,ET136,"Beautiful, rustic plant fibers are loosely woven together to reveal a lovely cream ground. "
Twill Woven Grasscloth,ET137,Twill Woven Grasscloth,ET137,"This minimalist grasscloth features a twill weave structure for subtle, beautiful texture."
Small Beige Grasscloth,ET138,Small Beige Grasscloth,ET138,This minimalist grasscloth features a plain weave structure in a versatile beige hue.
Large Beige Grasscloth,ET139,Large Beige Grasscloth,ET139,This minimalist grasscloth features a plain weave structure in a versatile beige hue.
Camel Grasscloth,ET140,Camel Grasscloth,ET140,"This simple, hand crafted grasscloth features a balanced weave structure in sandy gold hue."
Latticework Grasscloth,ET141,Latticework Grasscloth,ET141,This beautiful grasscloth wallcovering features natural fibers handwoven into a rustic latticework.
Plain Weave Grasscloth,ET142,Plain Weave Grasscloth,ET142,"This simple, hand crafted grasscloth features a balanced weave structure in sandy gold hue."
Camel Mesh Grasscloth,ET143,Camel Mesh Grasscloth,ET143,A network of natural fibers are woven together to create this net-like grasscloth wallcovering.
Sepia Mesh Grasscloth,ET144,Sepia Mesh Grasscloth,ET144,A latticework of natural fibers are handwoven together to create a net-like grasscloth.
Golden Wheat Twill,ET145,Golden Wheat Twill,ET145,Natural fibers of golden wheat are handwoven into a twill structure for subtle texture and visual interest.
Caramel Grasscloth,ET146,Caramel Grasscloth,ET146,This minimalist grasscloth features a plain weave structure in a warm caramel hue.
Wheat Grasscloth,ET147,Wheat Grasscloth,ET147,This minimalist grasscloth features a simple weave structure in a easy to style wheat color.
Blonde Grasscloth,ET148,Blonde Grasscloth,ET148,This minimalist grasscloth features a simple weave structure in a versatile blonde hue.
Oat Grasscloth,ET149,Oat Grasscloth,ET149,Oat colored natural fibers are stitched together to create a simple and lovely grasscloth wallcovering.
Ecru Grasscloth,ET150,Ecru Grasscloth,ET150,"In this beautiful grasscloth, ecru colored natural fibers are handwoven into a textural plain strucutre."
Buff Grasscloth,ET151,Buff Grasscloth,ET151,This handmade grasscloth features all natural fibers woven into a basket weave structure.
Fawn Grasscloth,ET152,Fawn Grasscloth,ET152,This lovely grasscloth feautures an attractive weave structure that brings visual and textural interest to any space.
Multi Taupe Grasscloth,ET153,Multi Taupe Grasscloth,ET153,Varying shades of of taupe fibers are handwoven together to create this beautiful and versatile grasscloth wallcovering.
